Sector,Project Name,Type,URL,Date,File Size,Document_ID
Obrana,Rekonštrukcia leteckej základne Sliač (aktualizácia),štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/5691_semai-195-20-2024.pdf,,,4.017
Obrana,"Obstaranie útočnej pušky 5,56 mm s príslušenstvom",hodnotenie,https://www.mfsr.sk/files/archiv/48/UHP_Hodnotenie_Utocne-pusky.pdf,18.10.2023,405 kB,4.013
Obrana,"Obstaranie útočnej pušky 5,56 mm s príslušenstvom",štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/5222_tudia-uskutocnitelnosti-obstarania-556mm-utocnej-pusky-s-prislusenstvom.pdf,,,4.018
Obrana,Akvizícia palebných prostriedkov protivzdušnej obrany – prvá etapa (aktualizácia),analýza,https://www.mfsr.sk/files/archiv/6/UHP_MO_Aktualizacia_PVO.pdf,19.9.2023,692 kB,4.012
Obrana,Akvizícia palebných prostriedkov protivzdušnej obrany – prvá etapa (aktualizácia),štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/5202_formular-na-aktualizaciu-studie-uskutocnitelnosti-obstarania-pp-pvo-prva-etapa.pdf,,,4.021
Obrana,Obstarávanie stavby na leteckej základni Sliač,analýza,https://www.mfsr.sk/files/archiv/51/LZ-Sliac_hodnotenie_UHP.pdf,9.6.2023,361 kB,4.011
Obrana,Obstarávanie stavby na leteckej základni Sliač,štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/5064_zverejnenie-studie-uskutocnitelnosti-obstaravania-stavby-na-leteckej-zakladni-sliac.pdf,,,4.022
Obrana,Akvizícia prostriedkov protivzdušnej obrany (projektový zámer),analýza,https://www.mfsr.sk/files/archiv/93/Hodnotenie_PVO.pdf,27.4.2023,425 kB,4.010
Obrana,Akvizícia prostriedkov protivzdušnej obrany (projektový zámer),štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/5029_tudia-uskutocnitelnosti-obstarania-pp-pvo-.pdf,,"1,14 MB",4.016
Obrana,Obstaranie Pásových bojových obrnených vozidiel a Pásových obrnených vozidiel (aktualizácia),analýza,https://www.mfsr.sk/files/archiv/86/MO_Aktualizacia_PBOV_20221212.pdf,12.12.2022,"1,05 MB",4.009
Obrana,Aktualizácia hodnotenia projektu Bojových obrnených vozidiel 8x8,analýza,https://www.mfsr.sk/files/archiv/68/Aktualizacia_BOV8x8_20220824.pdf,5.9.2022,470 kB,4.008
Obrana,Aktualizácia hodnotenia projektu Bojových obrnených vozidiel 8x8,štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/4801_tudia-uskutocnitelnosti-pre-obstaranie-bov-8x8-ver-12.pdf,,"3,46 MB",4.019
Obrana,Obstaranie Pásových bojových obrnených vozidiel a Pásových obrnených vozidiel,analýza,https://www.mfsr.sk/files/archiv/56/Hodnotenie_PBOV_a_POV_20220628.pdf,28.6.2022,758 kB,4.007
Obrana,Obstaranie Pásových bojových obrnených vozidiel a Pásových obrnených vozidiel,štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/4770_tudia-uskutocnitelnosti-pbov-a-pov.pdf,,"2,88 MB",4.020
Obrana,Obstaranie Bojových obrnených vozidiel 8x8 (aktualizácia),analýza,https://www.mfsr.sk/files/archiv/77/Hodnotenie_BOV8x8_20220330.pdf,30.3.2022,888 kB,4.006
Obrana,Obstaranie Bojových obrnených vozidiel 8x8 (aktualizácia),štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/4664_tudia_uskutocnitelnosti_obstarania_bov_8x8.pdf,,"2,4 MB",4.025
Obrana,Obstaranie Bojových obrnených vozidiel 8x8,analýza,https://www.mfsr.sk/files/archiv/2/Hodnotenie_BOV8x8_20210908.pdf,8.9.2021,349 kB,4.004
Obrana,Obstaranie Pásových bojových obrnených vozidiel a Pásových obrnených vozidiel (projektový zámer),analýza,https://www.mfsr.sk/files/archiv/65/Hodnotenie_PBOV_20210908.pdf,8.9.2021,273 kB,4.005
Obrana,Viacúčelové vrtuľníky UH-60M Black Hawk pre plnenia úloh síl špeciálneho určenia,analýza,https://www.mfsr.sk/files/archiv/29/Hodnotenie_Black_Hawk_SOF.pdf,2.6.2021,334  kB,4.003
Obrana,Viacúčelové vrtuľníky UH-60M Black Hawk pre plnenia úloh síl špeciálneho určenia,štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/4378_tudia-uskutocnitelnosti-uh-60m-pre-sso-fondy-usg.pdf,,,4.023
Obrana,"Obmena rádiolokačnej techniky VzS OS SR (stredný, malý a blízky dosah)",analýza,https://www.mfsr.sk/files/archiv/61/Hodnotenie_3DRadary_20210112.pdf,12.1.2021,304  kB,4.002
Obrana,Nákup bojových obrnených vozidiel 8x8 a 4x4,analýza,https://www.mfsr.sk/files/archiv/uhp/3370/76/Hodnotenie_bov-4x4-8x8_uhp.pdf,15.11.2017,438 kB,4.001
Budovy,Optimalizácia priestorového zabezpečenia v rezorte zdravotníctva,hodnotenie,https://www.mfsr.sk/files/archiv/83/Hodnotenie_Najom_MZSR_20250702.pdf,2.7.2025,444 kB,3.033
Budovy,Rekonštrukcia internátu Hviezda (aktualizácia pred podpisom zmluvy),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/budovy/hodnotenie_hviezda_aktualizacia_pred_podpisom.pdf,30.5.2025,140 kB,3.032
Budovy,Rekonštrukcia internátu Hviezda (aktualizácia pred podpisom zmluvy),štúdia uskutočniteľnosti,https://www.mosr.sk/data/att/164039.pdf,,132 kB,3.035
Budovy,Reforma súdnej mapy v Bratislave (aktualizácia pred podpisom zmluvy),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/aktualizacia_pred_podpisom_mss_bratislava.pdf,15.10.2024,176 kB,3.031
Budovy,Rekonštrukcia internátu Hviezda,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/hodnotenie_rekonstrukcia_internatu_hviezda.pdf,22.8.2024,461 kB,3.030
Budovy,Rekonštrukcia internátu Hviezda,štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/5500_tus_rekonstrukcia-internatu-hviezda.pdf,,,3.037
Budovy,Reforma súdnej mapy v Bratislave (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/aktualizacia_mestsky-sud-ba-iii-iv.pdf,26.7.2024,192 kB,3.029
Budovy,Rekonštrukcia kaštieľa v Rusovciach (aktualizácia pred podpisom zmluvy),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/hodnotenie_rusovce_aktualizacia_pred_podpisom.pdf,2.7.2024,173 kB,3.028
Budovy,Koncepcia rozvoja Fakultnej nemocnice s poliklinikou F. D. Roosevelta Banská Bystrica (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/aktualizacia_fnsp-bb.pdf,27.6.2024,183 kB,3.027
Budovy,Výstavba novej univerzitnej nemocnice v Martine (aktualizácia pred podpisom zmluvy),analýza,https://www.mfsr.sk/files/archiv/45/Aktualizacia3_nUNM_20240605.pdf,5.6.2024,170 kB,3.026
Budovy,Výstavba novej univerzitnej nemocnice v Martine (aktualizácia pred podpisom zmluvy),štúdia uskutočniteľnosti,https://www.unm.sk/storage/app/uploads/public/665/d6b/988/665d6b9889bf2401837114.pdf,,,3.034
Budovy,"Prenájom priestorov pre Ministerstvo školstva, výskumu, vývoja a mládeže SR",analýza,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/hodnotenie_prenajom-priestorov-msvvam.pdf,13.3.2024,321 kB,3.025
Budovy,Rekonštrukcia Nemocnice Poprad (aktualizácia pred podpisom zmluvy),analýza,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/nemocnica_poprad_hodnotenie-uhp_aktualizacia-pred-podpisom.pdf,7.2.2024,158 kB,3.024
Budovy,FN Žilina – Výstavba nového pavilónu urgentnej medicíny,analýza,https://www.mfsr.sk/files/archiv/80/Hodnotenie_FN-Zilina.pdf,3.11.2023,,3.023
Budovy,Koncepcia rozvoja Fakultnej nemocnice s poliklinikou F. D. Roosevelta Banská Bystrica (aktualizácia),analýza,https://www.mfsr.sk/files/archiv/86/Aktualizacia_FNsP-BB_20230914.pdf,14.9.2023,213 kB,3.022
Budovy,Výstavba novej univerzitnej nemocnice v Martine (aktualizácia č.2),analýza,https://www.mfsr.sk/files/archiv/9/Aktualizacia2_nUNM_UHP_hodnotenie.pdf,28.8.2023,428 kB,3.021
Budovy,Budova Najvyššieho súdu SR,analýza,https://www.mfsr.sk/files/archiv/78/Hodnotenie_UHP_NS-SR.pdf,17.8.2023,695 kB,3.020
Budovy,Budova Najvyššieho súdu SR,štúdia uskutočniteľnosti,https://www.nsud.sk/data/att/ade/700713.0f4fc9.pdf,,,3.036
Budovy,Východoslovenský onkologický ústav,analýza,https://www.mfsr.sk/files/archiv/43/VOU_20230719.pdf,19.7.2023,200 kB,3.019
Budovy,Obnova areálu Rastislavova UNLP,analýza,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenie-investicnych-projektov/unlp_rastislavova_hodnotenie_uhp.pdf,29.6.2023,163 kB,3.018
Budovy,Rekonštrukcia Nemocnice Poprad (aktualizácia),analýza,https://www.mfsr.sk/files/archiv/65/Aktualizacia_Nemocnica-Poprad.pdf,28.4.2023,202 kB,3.017
Budovy,Koncepcia rozvoja Univerzitnej nemocnice L. Pasteura Košice,analýza,https://www.mfsr.sk/files/archiv/51/UNLP-KE-hodnotenie_20230419_f.pdf,19.4.2023,274 kB,3.016
Budovy,Rekonštrukcia Nemocnice Poprad,analýza,https://www.mfsr.sk/files/archiv/34/Nemocnica-Poprad_hodnotenie.pdf,6.4.2023,184 kB,3.015
Budovy,Obnova a rozvoj Kúpeľov Sliač,analýza,https://www.mfsr.sk/files/archiv/55/Hodnotenie_Kupele_Sliac_UHP.pdf,16.3.2023,399 kB,3.014
Budovy,Obnova a rozvoj Kúpeľov Sliač,štúdia uskutočniteľnosti,https://www.kupelesliac.sk/wp-content/uploads/2023/02/CBA_Kupele-Sliac.pdf,,,3.040
Budovy,Smart Green Hospital Prešov,analýza,https://www.mfsr.sk/files/archiv/37/FN-Presov-20230220_hodnotenie.pdf,3.3.2023,259 kB,3.013
Budovy,Národný ústav detských chorôb - koncepcia rozvoja na najbližších 15 rokov,analýza,https://www.mfsr.sk/files/archiv/78/Hodnotenie_NUDCH_20230203.pdf,3.2.2023,294 kB,3.012
Budovy,Reforma súdnej mapy v Bratislave,analýza,https://www.mfsr.sk/files/archiv/95/Hodnotenie_Reforma_sudnej_mapy_BA20230118PDF.pdf,18.1.2023,451 kB,3.011
Budovy,Rozvoj fakultnej nemocnice Trnava,analýza,https://www.mfsr.sk/files/archiv/92/Hodnotenie_Fakultna-nemocnica-TT_16122022.pdf,16.12.2022,314 kB,3.010
Budovy,Výstavba novej univerzitnej nemocnice v Martine (aktualizácia),analýza,https://www.mfsr.sk/files/archiv/41/Aktualizacia_nUNM_20221209.pdf,9.12.2022,225 kB,3.009
Budovy,Výstavba novej univerzitnej nemocnice v Martine (aktualizácia),štúdia uskutočniteľnosti,https://www.unm.sk/sites/default/files/unm-sv-martin/formular_na_aktualizaciu_studie_uskutocnitelnosti_unsvm.pdf,,,3.039
Budovy,Komplexná rekonštrukcia historickej budovy Slovenského národného divadla,analýza,https://www.mfsr.sk/files/archiv/91/Hodnotenie_SND_FINAL.pdf,7.11.2022,544 kB,3.008
Budovy,Komplexná rekonštrukcia historickej budovy Slovenského národného divadla,štúdia uskutočniteľnosti,https://snd.sk/sites/default/files/HB/studia_uskutocnitelnosti_komplexnej_rekonstrukcie_hb_snd.pdf,,,3.038
Budovy,Rozvoj Fakultnej nemocnice s poliklinikou F.D. Roosevelta Banská Bystrica,analýza,https://www.mfsr.sk/files/archiv/28/UHP_FNsPBB-hodnotenie_20221005.pdf,7.10.2022,449 kB,3.007
Budovy,"Zjednotenie priestorov Ministerstva investícií, regionálneho rozvoja a informatizácie Slovenskej republiky",analýza,https://www.mfsr.sk/files/archiv/44/Hodnotenie-MIRRI_210908_clean.pdf,9.8.2022,236 kB,3.006
Budovy,Administratívna budova Úradu vlády Slovenskej republiky „Čajka“,analýza,https://www.mfsr.sk/files/archiv/66/Hodnotenie_Cajka20220728_PDF.pdf,28.7.2022,653 kB,3.005
Budovy,Výstavba novej univerzitnej nemocnice v Martine,analýza,https://www.mfsr.sk/files/archiv/62/Hodnotenie_UNM_20220225.pdf,25.2.2022,378 kB,3.004
Budovy,"Rekonštrukcia a dobudovanie fakúlt STU a UK - Advancing University Capacity and Competence in Research, Development and Innovation (ACCORD)",analýza,https://www.mfsr.sk/files/archiv/9/ACCORD_hodnotenie_190910.pdf,10.9.2019,376 kB,3.003
Budovy,Rekonštrukcia Fakultnej nemocnice s poliklinikou v Banskej Bystrici,analýza,https://www.mfsr.sk/files/archiv/13/stanovisko_fnsbb_20190128_publish.pdf,28.1.2019,264 kB,3.002
Budovy,Nová univerzitná nemocnica v Bratislave,analýza,https://www.mfsr.sk/files/archiv/uhp/3370/76/stanovisko_UNB_170403_2.pdf,03.04.2017,668 kB,3.001
Doprava,Zvýšenie priepustnosti trate Bratislava – Dunajská Streda – Komárno (doplnenie),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/doprava/hodnotenie_bratislava_dunajska-streda_komarno.pdf,2.9.2025,581 kB,1.100
Doprava,Modernizácia ležadlových vozňov pre nočnú dopravu,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/doprava/hodnotenie-zssk-lezadlove-vozne_20250828.pdf,28.8.2025,356 kB,1.099
Doprava,Nákup elektrických jednotiek pre linku Bratislava - Žilina (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/doprava/aktualizacia-hodnotenia-zssk-4-ej-560_20250605.pdf,5.6.2025,163 kB,1.098
Doprava,"D1 Beharovce – Branisko, 2. profil",hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/doprava/hodnotenie_d1_beharovce-branisko.pdf,14.5.2025,512 kB,1.097
Doprava,Obstaranie batériových elektrických jednotiek pre regionálnu dopravu,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie_hybridne-vozidla.pdf,13.3.2025,636 kB,1.096
Doprava,Obstaranie batériových elektrických jednotiek pre regionálnu dopravu,štúdia uskutočniteľnosti,https://www.zssk.sk/wp-content/uploads/2025/02/SU-Obstaranie-hybridnych-EJ-pre-regionalnu-dopravu_FINAL.pdf,,"1,6 MB",1.109
Doprava,Nákup elektrických jednotiek do diaľkovej dopravy (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/aktualizacia_hodnotenia_zssk_dialkove_supravy.pdf,13.3.2025,135 kB,1.095
Doprava,Nákup lôžkových vozňov (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/aktualizacia-hodnotenia-zssk-lozkove-vozne_20250303.pdf,3.3.2025,170 kB,1.094
Doprava,Nákup lôžkových vozňov (aktualizácia),štúdia uskutočniteľnosti,https://www.zssk.sk/wp-content/uploads/2025/02/Priloha-6-Formular-na-aktualizaciu-studie-uskutocnitelnosti-pred-vyhlasenim-verejneho-obstaravania-1.pdf,,116 kB,1.108
Doprava,Nákup 4 elektrických jednotiek pre linku Bratislava – Žilina,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie-zssk-4-ej-560.pdf,14.1.2025,432 kB,1.093
Doprava,Nákup 4 elektrických jednotiek pre linku Bratislava – Žilina,štúdia uskutočniteľnosti,https://www.zssk.sk/wp-content/uploads/2024/12/SU-Obstaranie-4-ks-EJ.pdf,,,1.110
Doprava,"I/15 Stropkov, preložka cesty (aktualizácia)",hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/aktualizacia-hodnotenia_i15-stropkov-prelozka.pdf,13.11.2024,120 kB,1.092
Doprava,R4 štátna hranica PL/SK – Kapušany,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie-r4_uhp.pdf,11.11.2024,396 kB,1.091
Doprava,Koridor D1 Bidovce – štátna hranica SK/UA,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie_d1-bidovce-statna-hranica-sk_ua.pdf,11.11.2024,"1,13 MB",1.090
Doprava,Prenájom elektrických rušňov do diaľkovej dopravy (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie-zssk-prenajom-rusnov_aktualizacia.pdf,9.9.2024,188 kB,1.089
Doprava,ZSSK - Vybudovanie strediska technicko-hygienickej údržby v Žiline,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie_thu_zilina.pdf,13.8.2024,269 kB,1.088
Doprava,ZSSK - Vybudovanie strediska technicko-hygienickej údržby v Žiline,štúdia uskutočniteľnosti,https://www.zssk.sk/wp-content/uploads/2024/07/FS-THU-ZILINA_10_07_2024.pdf,,"3,4 MB",1.104
Doprava,ZSSK - Vybudovanie strediska technicko-hygienickej údržby v Košiciach,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie_thu_kosice.pdf,25.7.2024,269 kB,1.087
Doprava,ZSSK - Vybudovanie strediska technicko-hygienickej údržby v Košiciach,štúdia uskutočniteľnosti,https://www.zssk.sk/wp-content/uploads/2024/05/Studia-uskutocnitelnosti-THU-Kosice.pdf,,718 kB,1.102
Doprava,Cesta I/75 Šaľa – obchvat (aktualizácia pred podpisom zmluvy),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/i75-sala_aktualizacia-hodnotenia-pred-podpisom-zmluvy.pdf,12.7.2024,155 kB,1.086
Doprava,Nákup 25 rušňov a 10 ucelených súprav do diaľkovej dopravy,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie-zssk-vozidla-dialkovu-dopravu.pdf,6.6.2024,280 kB,1.085
Doprava,Nákup 25 rušňov a 10 ucelených súprav do diaľkovej dopravy,štúdia uskutočniteľnosti,https://www.zssk.sk/wp-content/uploads/2024/05/SU-dialkova-doprava_final.pdf,,"1,03 MB",1.105
Doprava,"D3 Oščadnica – Čadca, Bukov (aktualizácia)",analýza,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/aktualizacia-hodnotenia_d3_oscadnica_cadca-bukov.pdf,30.5.2024,192 kB,1.084
Doprava,D1 Turany - Hubová,analýza,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie_d1_turany_hubova.pdf,24.5.2024,462 kB,1.083
Doprava,TTR – redizajn procesu tvorby cestovného poriadku pre lepšie využívanie železničnej infraštruktúry (aktualizácia),analýza,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie-ttr-aktualizacia.pdf,21.5.2024,217 kB,1.082
Doprava,Rekonštrukcia železničnej trate Veľký Horeš – Streda nad Bodrogom (aktualizácia),analýza,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie_velky-hores-streda-nad-bodrogom.pdf,13.3.2024,229 kB,1.081
Doprava,Nákup 6 ks ekologických koľajových vozidiel pre osobnú dopravu,analýza,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie-zssk-6-ej_20240229.pdf,29.2.2024,410 kB,1.080
Doprava,Koncepčná štúdia severojužného cestného prepojenia v oblasti stredného Slovenska,analýza,https://www.mfsr.sk/files/archiv/52/Hodnotenie_severojuzne_R1R3.pdf,10.11.2023,389 kB,1.079
Doprava,"D3 Žilina, Brodno – Čadca, Bukov (IV. etapa)",analýza,https://www.mfsr.sk/files/archiv/71/Hodnotenie-D3_4-etapa.pdf,27.10.2023,383 kB,1.078
Doprava,I/68 Sabinov preložka cesty (aktualizácia),analýza,https://www.mfsr.sk/files/archiv/39/Hodnotenie-pred-podpisom-I68-Sabinov-prelozka-cesty.pdf,27.10.2023,399 kB,1.077
Doprava,TTR – redizajn procesu tvorby cestovného poriadku pre lepšie využívanie železničnej infraštruktúry,analýza,https://www.mfsr.sk/files/archiv/78/UHP_Hodnotenie-TTR_20230907.pdf,7.9.2023,487 kB,1.076
Doprava,"D1 Lietavská Lúčka – Dubná Skala, technológia tunela Višňové (aktualizácia pred podpisom zmluvy)",analýza,https://www.mfsr.sk/files/archiv/23/Hodnotenie-pred-podpisom-NDS-D1-Technologia-tunela-Visnove.pdf,4.9.2023,399 kB,1.075
Doprava,R1 Banská Bystrica – Slovenská Ľupča (aktualizácia pred podpisom zmluvy),analýza,https://www.mfsr.sk/files/archiv/61/Hodnotenie_BB_SL_R1_akt_pred-podpisom.pdf,25.8.2023,414 kB,1.074
Doprava,"I/61 Trenčín, preložka (aktualizácia)",analýza,https://www.mfsr.sk/files/archiv/78/Hodnotenie_UHP_Trencin_prelozka.pdf,17.8.2023,423 kB,1.073
Doprava,D3 Kysucké Nové Mesto - Oščadnica (III. etapa),analýza,https://www.mfsr.sk/files/archiv/30/Hodnotenie_D3_III-etapa_KNM_Oscadnica.pdf,27.7.2023,543 kB,1.072
